Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org

FAIL test_sound_observation_does_not_replay_effects_or_invent_payments
PASS test_expedition_advice_uses_unlocks_and_preserves_hidden_rifts
PASS test_paid_expedition_reports_worker_combat_and_sealing_state
PASS test_assigned_expedition_takes_priority_over_a_second_waiting_order
PASS test_recovery_after_skipping_camp_or_losing_worker_with_empty_pouch
PASS test_guidance_follows_paid_camp_and_real_resident_jobs
PASS test_guidance_does_not_reveal_loot_or_keep_spending_stocked_tools
PASS test_controls_and_information_fit_notched_landscape_and_tablet
PASS test_safe_area_conversion_handles_scaling_and_letterboxing
PASS test_checkpoint_file_roundtrip_and_corruption_protection
PASS test_failed_write_keeps_old_checkpoint_and_can_retry
PASS test_full_checkpoint_restores_real_payment_cargo_and_world_continuation
PASS test_corrupt_checkpoint_is_rejected_before_it_can_run
PASS test_resume_preserves_hit_identity_and_drops_buffered_next_cut
PASS test_pending_enemy_windup_survives_and_invalid_target_is_refused
PASS test_exploration_reveals_wall_plot_but_requires_local_preparation
PASS test_expansion_is_sequential_and_trees_must_be_actually_cleared
PASS test_guards_advance_only_after_completion_and_fall_back_without_switching_sides
PASS test_night_spawn_is_outside_expanded_territory
PASS test_safe_outpost_shortens_worker_return_but_lost_wall_forces_core_retreat
PASS test_outer_wall_intercepts_then_inner_wall_remains_a_second_defense
PASS test_seeded_expansion_spawns_stay_on_map_and_beyond_both_fronts
PASS test_camps_replenish_once_per_real_dawn_and_remain_recruitable
PASS test_camps_do_not_accumulate_infinite_people_or_remove_existing_ids
PASS test_standing_forest_renews_hunted_prey_and_delivered_plants
PASS test_carried_plants_never_duplicate_and_minerals_never_regrow
PASS test_clearcut_forest_loses_future_camp_and_prey_without_erasing_survivors
PASS test_last_tree_order_warns_about_habitat_loss
PASS test_preserving_one_tree_per_forest_still_funds_city_and_farm_timber
PASS test_cleared_ground_still_supports_delivered_berry_and_herb_patches
PASS test_full_shield_cannot_stack_before_city_upgrade
PASS test_damage_offers_bounded_refill_instead_of_another_upgrade
PASS test_training_tiers_cost_more_and_require_city_progress
PASS test_damage_interrupts_held_upgrade_without_spending_refill_or_losing_slots
PASS test_growth_configuration_changes_actual_cap_and_training
PASS test_one_swing_hits_each_target_once
PASS test_range_and_facing_do_not_consume_a_valid_hit
PASS test_attack_window_and_cooldown
PASS test_dash_spends_stamina_and_protects_health
PASS test_death_and_invalid_damage
PASS test_negative_time_cannot_rewind_combat
PASS test_sword_only_damages_during_downward_cut
PASS test_turning_during_swing_cannot_move_damage_behind_hero
PASS test_short_cooldown_cannot_restart_an_unfinished_swing
PASS test_dash_cancels_damage_in_every_swing_phase
PASS test_overhead_anticipation_cannot_damage_before_downward_cut
PASS test_dash_progress_tracks_motion_until_it_finishes
PASS test_shield_absorbs_damage_before_health_and_cannot_regenerate
PASS test_combo_accepts_early_press_without_restarting_the_current_swing
PASS test_combo_requires_three_presses_and_finisher_recovers
PASS test_single_press_late_followup_and_expired_chain
PASS test_combo_target_can_receive_each_cut_only_once
PASS test_combo_cancels_on_dash_hurt_death_and_lost_intent
PASS test_buffer_expiry_and_large_time_step_obey_the_same_handoff
PASS test_each_combo_cut_locks_direction_when_it_begins
PASS test_followup_travel_is_timed_directional_and_consumed_once
PASS test_step_distance_survives_coarse_handoff_and_custom_timing
PASS test_cancelled_combo_discards_unapplied_step
PASS test_core_breach_loses_without_killing_knight_and_stops_simulation
PASS test_intact_wall_protects_core_then_breach_exposes_it
PASS test_core_charge_uses_slots_and_cannot_exceed_capacity
PASS test_knight_death_and_city_milestone_are_not_victory
PASS test_rift_requires_exploration_city_and_an_engineer
PASS test_engineer_travels_and_waits_for_knight_before_guardians
PASS test_fighting_unlocks_sealing_and_closed_side_stops_night_spawns
PASS test_both_seals_and_cleared_enemies_finish_run_once
PASS test_lost_engineer_is_replaced_without_reset_or_duplicate_wardens
PASS test_expedition_waits_for_carried_harvest_to_be_delivered
PASS test_sealed_sources_still_require_remaining_enemies_and_defeat_wins_ties
PASS test_warden_stats_are_editable_through_campaign_rules
PASS test_two_wall_investments_and_construction_are_independent
PASS test_night_attackers_arrive_from_both_sides
PASS test_wall_blocks_close_attack_against_knight
PASS test_defenders_split_posts_and_keep_their_assignments
PASS test_newly_completed_wall_intercepts_a_queued_strike
PASS test_pressure_preview_matches_spawned_sides_and_clears_at_dawn
PASS test_generated_resources_leave_space_for_both_defense_sites
PASS test_legacy_encounter_left_retreat_does_not_create_false_loot
PASS test_kingdom_milestone_requires_both_defenses
PASS test_distant_worker_leaves_before_sunset_and_preserves_work
PASS test_night_pauses_farming_and_dawn_resumes_work
PASS test_hunter_hunts_by_day_and_defends_at_night
PASS test_carried_resource_returns_with_worker_then_deposits_at_dawn
